Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
112,Mattia Aramu\Mattia-Aramu,it ITA,FW,Torino,it Serie A,21,1995,1,1,45,0,0,0,0,0,0,0,0,0,0,0,Matches
113,Charles Aránguiz\Charles-Aranguiz,cl CHI,MF,Leverkusen,de Bundesliga,27,1989,26,22,1815,2,2,1,2,8,2,0.1,0.1,0.2,0.05,0.15,Matches
114,Sergio Araujo\Sergio-Araujo,ar ARG,FW,Las Palmas,es La Liga,24,1992,11,5,536,2,1,0,0,2,0,0.34,0.17,0.5,0.34,0.5,Matches
115,Álvaro Arbeloa\Alvaro-Arbeloa,es ESP,DF,West Ham,eng Premier League,33,1983,3,1,258,0,0,0,0,3,0,0,0,0,0,0,Matches
116,Anaitz Arbilla\Anaitz-Arbilla,es ESP,DF,Eibar,es La Liga,29,1987,22,17,1574,0,2,0,0,5,0,0,0.11,0.11,0,0.11,Matches
117,Markel Areitio\Markel-Areitio,es ESP,GK,Eibar,es La Liga,19,1996,1,0,47,0,0,0,0,0,0,0,0,0,0,0,Matches
118,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Paris S-G,fr Ligue 1,23,1993,15,14,1297,0,0,0,0,0,0,0,0,0,0,0,Matches
119,Scott Arfield\Scott-Arfield,ca CAN,MF,Burnley,eng Premier League,27,1988,31,23,2102,1,1,0,0,3,0,0.04,0.04,0.09,0.04,0.09,Matches
120,Fernando Aristeguieta\Fernando-Aristeguieta,ve VEN,FW,Nantes,fr Ligue 1,24,1992,5,0,52,0,0,0,0,0,0,0,0,0,0,0,Matches
121,Sylvain Armand\Sylvain-Armand,fr FRA,DF,Rennes,fr Ligue 1,35,1980,1,0,66,0,0,0,0,0,0,0,0,0,0,0,Matches
122,Pablo Armero\Pablo-Armero,co COL,DF,Udinese,it Serie A,29,1986,2,2,180,0,0,0,0,1,0,0,0,0,0,0,Matches
123,Marko Arnautović\Marko-Arnautovic,at AUT,MFFW,Stoke City,eng Premier League,27,1989,32,32,2714,6,5,0,1,9,1,0.2,0.17,0.36,0.2,0.36,Matches
124,Maximilian Arnold\Maximilian-Arnold,de GER,MF,Wolfsburg,de Bundesliga,22,1994,32,28,2423,2,3,0,0,9,0,0.07,0.11,0.19,0.07,0.19,Matches
125,Alejandro Arribas\Alejandro-Arribas,es ESP,DF,La Coruña,es La Liga,27,1989,23,20,1914,0,0,0,0,7,0,0,0,0,0,0,Matches
126,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Athletic Club,es La Liga,21,1994,23,23,2015,0,0,0,0,1,0,0,0,0,0,0,Matches
127,Harry Arter\Harry-Arter,ie IRL,MF,Bournemouth,eng Premier League,26,1989,35,33,2957,1,3,0,1,12,2,0.03,0.09,0.12,0.03,0.12,Matches
128,Aythami Artiles\Aythami-Artiles,es ESP,DF,Las Palmas,es La Liga,30,1986,11,8,836,0,0,0,0,4,2,0,0,0,0,0,Matches
129,Kwadwo Asamoah\Kwadwo-Asamoah,gh GHA,DFMF,Juventus,it Serie A,27,1988,18,16,1472,0,1,0,0,2,0,0,0.06,0.06,0,0.06,Matches
130,Sergio Asenjo\Sergio-Asenjo,es ESP,GK,Villarreal,es La Liga,27,1989,24,24,2104,0,0,0,0,0,0,0,0,0,0,0,Matches
131,Marco Asensio\Marco-Asensio,es ESP,FWMF,Real Madrid,es La Liga,20,1996,23,11,1083,3,2,0,0,0,0,0.25,0.17,0.42,0.25,0.42,Matches
132,Joel Asoro\Joel-Asoro,se SWE,FW,Sunderland,eng Premier League,17,1999,1,0,10,0,0,0,0,0,0,0,0,0,0,0,Matches
133,Iago Aspas\Iago-Aspas,es ESP,FWMF,Celta Vigo,es La Liga,28,1987,32,25,2317,19,6,6,6,9,2,0.74,0.23,0.97,0.5,0.74,Matches
134,Benoît Assou-Ekotto\Benoit-Assou-Ekotto,cm CMR,DF,Metz,fr Ligue 1,32,1984,18,16,1479,0,1,0,0,1,3,0,0.06,0.06,0,0.06,Matches
135,Davide Astori\Davide-Astori,it ITA,DF,Fiorentina,it Serie A,29,1987,33,33,2967,2,0,0,0,12,2,0.06,0,0.06,0.06,0.06,Matches
136,Barış Atik\Baris-Atik,de GER,MF,Hoffenheim,de Bundesliga,21,1995,3,0,70,0,0,0,0,0,0,0,0,0,0,0,Matches
137,Omer Atzili\Omer-Atzili,il ISR,MF,Granada,es La Liga,23,1993,9,3,365,0,0,0,0,0,0,0,0,0,0,0,Matches
138,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Dortmund,de Bundesliga,27,1989,32,31,2779,31,3,2,4,3,0,1,0.1,1.1,0.94,1.04,Matches
139,Emil Audero\Emil-Audero,it ITA,GK,Juventus,it Serie A,19,1997,1,1,90,0,0,0,0,0,0,0,0,0,0,0,Matches
140,Jean-Kévin Augustin\Jean-Kevin-Augustin,fr FRA,FW,Paris S-G,fr Ligue 1,19,1997,10,1,196,1,2,0,0,0,0,0.46,0.92,1.38,0.46,1.38,Matches
141,Serge Aurier\Serge-Aurier,ci CIV,DF,Paris S-G,fr Ligue 1,23,1992,22,21,1829,0,3,0,0,4,2,0,0.15,0.15,0,0.15,Matches
142,Charlie Austin\Charlie-Austin,eng ENG,FW,Southampton,eng Premier League,27,1989,15,11,934,6,1,2,2,1,0,0.58,0.1,0.67,0.39,0.48,Matches
143,Donis Avdijaj\Donis-Avdijaj,xk KVX,MF,Schalke 04,de Bundesliga,19,1996,9,2,298,2,0,0,0,1,0,0.6,0,0.6,0.6,0.6,Matches
144,Danilo Avelar\Danilo-Avelar,br BRA,DF,Torino,it Serie A,27,1989,3,3,262,0,0,0,0,1,0,0,0,0,0,0,Matches
145,Daniel Ayala\Daniel-Ayala,es ESP,DF,Middlesbrough,eng Premier League,25,1990,14,11,918,1,0,0,0,3,0,0.1,0,0.1,0.1,0.1,Matches
146,André Ayew\Andre-Ayew,gh GHA,MFFW,West Ham,eng Premier League,26,1989,25,16,1438,6,3,0,0,1,0,0.38,0.19,0.56,0.38,0.56,Matches
147,Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Swansea City,eng Premier League,24,1991,14,9,866,1,2,0,0,1,0,0.1,0.21,0.31,0.1,0.31,Matches
148,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,eng Premier League,26,1989,38,38,3420,1,4,0,0,4,0,0.03,0.11,0.13,0.03,0.13,Matches
149,Florian Baak\Florian-Baak,de GER,DF,Hertha BSC,de Bundesliga,17,1999,2,0,15,0,0,0,0,0,0,0,0,0,0,0,Matches
