Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
56,Iván Alejo\Ivan-Alejo,es ESP,MFFW,Getafe,es La Liga,23,1995,4,2,146,0,0,0,0,2,1,0,0,0,0,0,0.1,0.1,0.1,0.04,0.09,0.13,0.04,0.13,Matches
57,Carles Aleñá\Carles-Alena,es ESP,MF,Barcelona,es La Liga,20,1998,17,6,637,2,0,0,0,2,0,0.28,0,0.28,0.28,0.28,1.5,1.5,0.7,0.21,0.09,0.3,0.21,0.3,Matches
58,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Dijon,fr Ligue 1,23,1995,25,25,2250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
59,Alexander\Alexander,ar ARG,DF,Leganés,es La Liga,29,1988,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
60,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,19,1998,29,27,2462,1,12,0,0,3,0,0.04,0.44,0.48,0.04,0.48,1.5,1.5,6.1,0.05,0.22,0.28,0.05,0.28,Matches
61,Rachid Alioui\Rachid-Alioui,ma MAR,FW,Nîmes,fr Ligue 1,26,1992,27,11,1252,5,0,0,0,1,0,0.36,0,0.36,0.36,0.36,5.3,5.3,1.2,0.38,0.09,0.47,0.38,0.47,Matches
62,Alisson\Alisson,br BRA,GK,Liverpool,eng Premier League,25,1992,38,38,3420,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
63,Bobby Allain\Bobby-Allain,fr FRA,GK,Dijon,fr Ligue 1,26,1991,13,13,1170,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
64,Allan\Allan,br BRA,MF,Napoli,it Serie A,27,1991,33,28,2616,1,3,0,0,10,0,0.03,0.1,0.14,0.03,0.14,1.2,1.2,3.4,0.04,0.12,0.16,0.04,0.16,Matches
65,Allan\Allan,br BRA,MFDF,Eint Frankfurt,de Bundesliga,21,1997,4,2,176,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.05,0.01,0.06,0.05,0.06,Matches
66,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,eng Premier League,22,1996,25,22,1825,5,3,0,0,4,0,0.25,0.15,0.39,0.25,0.39,5.3,5.3,2.4,0.26,0.12,0.38,0.26,0.38,Matches
67,Miguel Almirón\Miguel-Almiron,py PAR,FWMF,Newcastle Utd,eng Premier League,24,1994,10,9,759,0,0,0,0,0,0,0,0,0,0,0,1.7,1.6,0.8,0.2,0.1,0.3,0.19,0.29,Matches
68,Júnior Alonso\Junior-Alonso,py PAR,DFMF,Celta Vigo,es La Liga,25,1993,9,6,536,0,0,0,0,2,0,0,0,0,0,0,0.4,0.4,0.2,0.06,0.04,0.1,0.06,0.1,Matches
69,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,eng Premier League,27,1990,31,31,2759,2,4,0,0,6,0,0.07,0.13,0.2,0.07,0.2,2.7,2.7,3.9,0.09,0.13,0.22,0.09,0.22,Matches
70,Mickaël Alphonse\Mickael-Alphonse,GPE,DF,Dijon,fr Ligue 1,29,1989,11,6,571,1,0,0,0,0,0,0.16,0,0.16,0.16,0.16,0.3,0.3,0.4,0.04,0.07,0.11,0.04,0.11,Matches
71,Sergio Álvarez\Sergio-Alvarez,es ESP,GK,Celta Vigo,es La Liga,31,1986,13,13,1170,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
72,Sergio Álvarez\Sergio-Alvarez,es ESP,MFDF,Eibar,es La Liga,26,1992,19,12,1069,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0,0.02,0,0.02,0.02,0.02,Matches
73,Yeray Álvarez\Yeray-Alvarez,es ESP,DF,Athletic Club,es La Liga,23,1995,30,30,2613,0,0,0,0,10,0,0,0,0,0,0,1.4,1,0,0.05,0,0.05,0.04,0.04,Matches
74,Bruno Alves\Bruno-Alves,pt POR,DF,Parma,it Serie A,36,1981,33,33,2922,4,1,0,0,9,1,0.12,0.03,0.15,0.12,0.15,2.2,2.2,1.3,0.07,0.04,0.11,0.07,0.11,Matches
